Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-05-17,26.700000762939453,27.299999237060547,26.700000762939453,27.299999237060547,200,0,0
2001-05-18,26.899999618530273,26.899999618530273,26.899999618530273,26.899999618530273,0,0,0
2001-05-21,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,0,0,0
2001-05-22,29.799999237060547,29.799999237060547,29.799999237060547,29.799999237060547,0,0,0
2001-05-23,30.0,30.0,30.0,30.0,0,0,0
2001-05-24,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,0,0
2001-05-25,29.5,29.5,29.5,29.5,100,0,0
2001-05-29,29.399999618530273,29.399999618530273,29.399999618530273,29.399999618530273,0,0,0
2001-05-30,28.5,28.5,28.5,28.5,0,0,0
2001-05-31,28.399999618530273,28.399999618530273,28.399999618530273,28.399999618530273,0,0,0
2001-06-01,28.799999237060547,28.799999237060547,28.799999237060547,28.799999237060547,0,0,0
2001-06-04,30.0,30.0,30.0,30.0,0,0,0
2001-06-05,29.600000381469727,29.600000381469727,29.600000381469727,29.600000381469727,50,0,0
2001-06-06,30.0,30.0,30.0,30.0,0,0,0
2001-06-07,30.0,30.0,30.0,30.0,0,0,0
2001-06-08,31.0,31.0,31.0,31.0,0,0,0
2001-06-11,30.5,30.5,30.5,30.5,0,0,0
2001-06-12,30.0,30.0,30.0,30.0,0,0,0
2001-06-13,30.0,30.0,30.0,30.0,200,0,0
2001-06-14,29.799999237060547,29.799999237060547,29.0,29.0,100,0,0
2001-06-15,28.399999618530273,28.399999618530273,28.399999618530273,28.399999618530273,0,0,0
2001-06-18,27.0,27.0,27.0,27.0,0,0,0
2001-06-19,25.299999237060547,25.799999237060547,25.0,25.0,400,0,0
2001-06-20,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0,0,0
2001-06-21,24.299999237060547,24.299999237060547,24.299999237060547,24.299999237060547,0,0,0
2001-06-22,23.700000762939453,23.700000762939453,23.700000762939453,23.700000762939453,0,0,0
2001-06-25,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0,0,0
2001-06-26,24.5,24.5,24.5,24.5,0,0,0
2001-06-27,25.5,25.5,25.5,25.5,0,0,0
2001-06-28,25.5,25.5,25.299999237060547,25.299999237060547,30,0,0
2001-06-29,26.0,26.5,26.0,26.5,15,0,0
2001-07-02,26.700000762939453,26.700000762939453,26.700000762939453,26.700000762939453,0,0,0
2001-07-03,27.0,27.0,26.799999237060547,26.799999237060547,65,0,0
2001-07-05,26.0,26.0,26.0,26.0,0,0,0
2001-07-06,25.75,25.75,25.75,25.75,0,0,0
2001-07-09,25.0,25.0,25.0,25.0,0,0,0
2001-07-10,26.0,26.0,26.0,26.0,0,0,0
2001-07-11,24.399999618530273,24.399999618530273,23.899999618530273,23.899999618530273,100,0,0
2001-07-12,23.600000381469727,23.600000381469727,23.600000381469727,23.600000381469727,0,0,0
2001-07-16,24.149999618530273,24.649999618530273,24.149999618530273,24.649999618530273,65,0,0
2001-07-17,23.5,23.5,23.5,23.5,0,0,0
2001-07-18,23.0,23.0,23.0,23.0,0,0,0
2001-07-19,22.5,22.5,22.5,22.5,0,0,0
2001-07-20,22.0,22.0,22.0,22.0,0,0,0
2001-07-23,23.0,23.0,23.0,23.0,0,0,0
